UnitID,Institution Name,Full-time adjusted fall 2018 cohort (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),
445869,Divine Mercy University,,,,,,,,,
153241,Divine Word College,1,1,1,1,9,11,11,14,
181020,Doane University,259,299,303,330,268,287,337,291,
448284,Doane University-Graduate and Professional Studies,,1,1,1,1,0,0,,
190761,Dominican College of Blauvelt,299,229,253,363,289,286,293,352,
113704,Dominican School of Philosophy & Theology,,,,,,,,,
148496,Dominican University,447,441,495,483,473,497,405,414,
113698,Dominican University of California,286,241,268,256,261,305,265,279,
122117,Dongguk University Los Angeles,,,,,,,,,
155007,Donnelly College,48,50,82,62,147,105,48,109,
153250,Dordt University,365,397,387,362,336,378,342,368,
190770,Dowling College,,,,,182,235,374,344,
153269,Drake University,748,758,765,801,869,850,848,812,
184348,Drew University,420,371,350,356,302,399,362,454,
212054,Drexel University,3353,3268,2322,2717,2920,3009,3016,3036,
177214,Drury University,377,361,425,341,400,433,482,489,
198419,Duke University,1731,1744,1723,1746,1721,1730,1714,1722,
175227,Dunwoody College of Technology,10,8,11,2,2,1,2,6,
212106,Duquesne University,1370,1415,1373,1258,1162,1353,1307,1161,
150455,Earlham College,271,287,355,252,270,253,286,234,
224527,East Texas Baptist University,400,419,346,340,363,340,350,329,
144883,East-West University,74,105,181,152,93,171,188,171,
232043,Eastern Mennonite University,200,189,222,254,240,232,217,234,
165644,Eastern Nazarene College,140,153,166,112,168,165,169,161,
212133,Eastern University,329,305,343,314,330,360,366,395,
446233,Ecclesia College,35,54,60,66,37,56,36,8,
133492,Eckerd College,580,558,573,484,511,451,530,503,
247162,Ecumenical Theological Seminary,,,,,,,,,
177278,Eden Theological Seminary,,,,,,,,,
238661,Edgewood College,255,281,263,298,289,298,340,294,
442806,Edward Via College of Osteopathic Medicine,,,,,,,,,
133526,Edward Waters College,298,249,206,246,222,195,222,180,
212197,Elizabethtown College,386,410,442,504,447,530,502,511,
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,
144962,Elmhurst University,530,497,477,478,510,506,560,608,
190983,Elmira College,206,204,207,255,329,319,356,329,
198516,Elon University,1698,1573,1553,1524,1496,1474,1424,1417,
133553,Embry-Riddle Aeronautical University-Daytona Beach,1405,1338,1240,1260,1182,924,928,1036,
104586,Embry-Riddle Aeronautical University-Prescott,609,678,599,579,499,443,372,349,
426314,Embry-Riddle Aeronautical University-Worldwide,65,61,54,65,64,68,47,51,
165662,Emerson College,922,931,878,906,857,862,866,911,
220136,Emmanuel Christian Seminary,,,,,,,,,
139630,Emmanuel College,246,263,238,232,193,167,192,186,
165671,Emmanuel College,594,474,596,555,524,515,553,550,
153302,Emmaus Bible College,47,60,65,40,53,27,32,54,
232025,Emory & Henry College,268,253,284,303,284,264,244,271,
139658,Emory University,1421,1378,1350,1354,1354,1348,1352,1326,
165699,Endicott College,753,757,713,784,739,629,642,638,
124487,Epic Bible College,1,1,1,2,2,9,7,7,
165705,Episcopal Divinity School,,,,,,,,,
224712,Episcopal Theological Seminary of the Southwest,,,,,,,,,
409254,Erikson Institute,,,,,,,,,
217998,Erskine College,166,178,207,217,187,207,137,163,
144971,Eureka College,138,106,153,163,168,138,156,159,
177339,Evangel University,372,400,387,362,329,458,381,409,
176619,Evangel University - Assemblies of God Theological Seminary,,,,,,,,,
212443,Evangelical Theological Seminary,,,,,,,,,
385619,Everglades University,587,634,656,610,52,53,53,59,
196680,Excelsior College,,,,,,,,,
129242,Fairfield University,1089,993,1056,965,1055,963,990,909,
184694,Fairleigh Dickinson University-Florham Campus,671,805,581,692,698,506,577,584,
184603,Fairleigh Dickinson University-Metropolitan Campus,457,561,370,404,461,429,515,456,
153320,Faith Baptist Bible College and Theological Seminary,48,50,46,71,55,36,47,56,
443049,Faith International University,2,6,16,7,9,10,10,11,
443058,Family of Faith Christian University,0,3,3,2,1,2,0,3,
101189,Faulkner University,254,311,295,279,381,287,346,310,
184612,Felician University,288,308,316,296,270,151,228,341,
232089,Ferrum College,416,359,451,422,499,554,550,574,
114549,Fielding Graduate University,,,,,,,,,
172440,Finlandia University,78,72,152,133,73,75,87,141,
165802,Fisher College,141,130,112,118,118,109,134,105,
220181,Fisk University,274,132,123,208,221,230,221,110,
114585,Five Branches University,,,,,,,,,
133711,Flagler College,652,735,600,615,673,707,646,665,
444990,Flagler College-Tallahassee,,,,,,,,,
133809,Florida College,180,156,179,188,203,189,189,198,
133881,Florida Institute of Technology,770,718,759,644,768,781,755,668,
480569,Florida Institute of Technology-Online,0,,,,,,,,
133979,Florida Memorial University,332,309,367,364,443,398,381,378,
134079,Florida Southern College,697,716,643,690,577,633,536,523,
177418,Fontbonne University,183,139,140,178,111,157,136,142,
191241,Fordham University,2284,2269,2189,2191,2229,1943,1855,1962,
177427,Forest Institute of Professional Psychology,,,,,,,,,
160074,Franciscan Missionaries of Our Lady University,43,61,56,52,65,107,97,57,
114734,Franciscan School of Theology,,,,,,,,,
205957,Franciscan University of Steubenville,513,435,414,425,443,424,393,423,
212577,Franklin and Marshall College,611,644,639,592,591,604,599,597,
150604,Franklin College,269,267,237,290,327,272,290,275,
182795,Franklin Pierce University,454,462,635,417,456,450,538,368,
202806,Franklin University,132,7,10,11,6,9,19,63,
441982,Franklin W Olin College of Engineering,84,89,79,76,79,81,81,82,
220215,Freed-Hardeman University,308,313,324,292,340,355,321,384,
114813,Fresno Pacific University,232,179,199,154,191,210,236,248,
155089,Friends University,173,174,163,164,180,178,193,218,
156727,Frontier Nursing University,,,,,,,,,
114840,Fuller Theological Seminary,,,,,,,,,
218070,Furman University,713,700,748,668,723,755,694,785,
131450,Gallaudet University,201,247,245,178,181,200,212,200,
212601,Gannon University,746,614,607,591,573,589,594,640,
198561,Gardner-Webb University,408,381,444,460,493,434,493,461,
145275,Garrett-Evangelical Theological Seminary,,,,,,,,,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,302,300,289,329,311,334,339,312,
208822,George Fox University,593,628,631,619,627,619,420,454,
131469,George Washington University,2837,2607,2513,2578,2410,2348,2376,2230,
156745,Georgetown College,262,305,297,282,271,243,237,351,
131496,Georgetown University,1618,1596,1573,1566,1575,1593,1568,1596,
461236,Georgia Central University,,,10,10,20,13,18,3,
184773,Georgian Court University,280,216,221,149,228,275,160,243,
458511,Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,,,,,,,,,
212674,Gettysburg College,748,720,696,699,720,703,769,732,
230889,Goddard College,5,4,8,6,5,2,6,7,
202903,Gods Bible School and College,19,14,25,45,39,58,51,69,
115083,Golden Gate University-San Francisco,,,0,0,0,0,0,0,
130989,Goldey-Beacom College,148,159,158,119,158,93,89,108,
235316,Gonzaga University,1196,1257,1269,1335,1048,1237,1095,1128,
202912,Good Samaritan College of Nursing and Health Science,0,0,0,0,0,0,0,0,
129154,Goodwin University,0,0,0,17,63,55,74,90,
165936,Gordon College,429,414,419,435,394,477,459,457,
165945,Gordon-Conwell Theological Seminary,,,,,,,,,
150668,Goshen College,200,215,185,176,159,167,168,170,
162654,Goucher College,432,420,440,389,403,401,410,367,
170000,Grace Christian University,96,66,70,85,72,90,102,68,
150677,Grace College and Theological Seminary,313,349,398,355,355,346,344,278,
461528,Grace College of Divinity,5,0,1,2,12,10,3,0,
181093,Grace University,,,35,59,59,96,71,70,
153366,Graceland University-Lamoni,267,251,256,289,279,325,229,257,
115214,Graduate Theological Union,,,,,,,,,
153375,Grand View University,325,328,333,266,278,297,291,354,
212771,Gratz College,,,,0,,,,,
170091,Great Lakes Christian College,21,27,25,45,21,39,31,45,
230898,Green Mountain College,,111,125,132,131,134,180,140,
198598,Greensboro College,180,223,249,227,183,200,225,223,
145372,Greenville University,221,220,198,260,268,277,262,276,
153384,Grinnell College,463,447,413,442,435,423,444,448,
212805,Grove City College,607,635,583,545,637,645,669,617,
198613,Guilford College,358,342,421,311,351,392,305,352,
173647,Gustavus Adolphus College,651,540,539,609,609,606,667,713,
212832,Gwynedd Mercy University,193,173,124,146,142,73,90,83,
191515,Hamilton College,481,480,472,473,469,491,469,481,
173665,Hamline University,538,532,545,510,519,534,540,511,
232256,Hampden-Sydney College,341,311,282,303,321,292,342,319,
166018,Hampshire College,282,325,320,370,324,381,357,356,
232265,Hampton University,910,1015,1263,926,834,955,883,936,
177542,Hannibal-LaGrange University,108,133,149,153,156,167,191,155,
150756,Hanover College,356,343,308,304,293,334,372,321,
225247,Hardin-Simmons University,480,454,392,411,339,413,393,394,
107044,Harding University,856,944,1013,990,1063,1030,1019,1013,
446640,Harrisburg University of Science and Technology,186,199,133,117,101,107,133,90,
129491,Hartford Seminary,,,,,,,,,
191533,Hartwick College,407,351,402,291,419,528,446,489,
166027,Harvard University,1652,1686,1659,1659,1649,1656,1665,1657,
115409,Harvey Mudd College,234,224,213,214,194,217,198,194,
181127,Hastings College,263,306,273,295,345,345,236,322,
212911,Haverford College,357,349,349,346,338,330,323,334,
449579,Hawaii College of Oriental Medicine,,,,,,,,,
141644,Hawaii Pacific University,556,480,449,473,509,516,464,533,
173683,Hazelden Betty Ford Graduate School of Addiction Studies,,,,,,,,,
166045,Hebrew College,,,,,,,,,
145497,Hebrew Theological College,36,26,50,361,277,338,362,331,
203067,Hebrew Union College-Jewish Institute of Religion,,,,,,,,,
203085,Heidelberg University,329,319,369,271,362,351,345,280,
191597,Helene Fuld College of Nursing,,,,,0,0,0,0,
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,8,9,14,28,16,21,21,24,
107080,Hendrix College,309,338,352,392,314,435,369,375,
198677,Heritage Bible College,0,5,1,4,4,6,4,8,
101453,Heritage Christian University,4,8,1,6,2,7,2,4,
235422,Heritage University,95,107,108,102,121,74,81,111,
198695,High Point University,1423,1110,1380,1362,1386,1158,1256,1269,
191621,Hilbert College,219,167,143,152,165,185,172,223,
203128,Hiram College,233,257,207,160,274,287,304,308,
220312,Hiwassee College,,78,70,49,35,18,10,35,
191630,Hobart William Smith Colleges,611,634,581,631,643,638,600,681,
134510,Hobe Sound Bible College,29,26,24,23,24,17,15,8,
367884,Hodges University,23,31,30,122,35,55,53,47,
191649,Hofstra University,1547,1629,1641,1642,1708,1608,1481,1670,
232308,Hollins University,199,155,225,196,165,146,128,182,
129534,Holy Apostles College and Seminary,5,5,1,6,3,0,7,7,
150774,Holy Cross College,91,192,215,181,154,158,116,121,
239743,Holy Family College,50,92,53,61,45,40,50,46,
212984,Holy Family University,353,356,328,341,250,288,308,288,
115728,Holy Names University,175,176,95,119,88,85,123,123,
162760,Hood College,239,255,219,257,288,281,269,309,
443076,Hood Theological Seminary,,,,,,,,,
170301,Hope College,798,779,722,786,820,811,902,846,
120537,Hope International University,89,92,98,108,68,68,108,111,
457226,Horizon University,0,0,0,1,0,0,0,1,
191676,Houghton College,219,219,271,266,250,223,233,265,
225399,Houston Baptist University,511,510,576,544,615,567,514,496,
246345,Houston Graduate School of Theology,,,,,,,,,
225548,Howard Payne University,248,246,324,280,300,342,297,280,
131520,Howard University,1498,2077,900,1642,1467,1576,1376,1523,
164368,Hult International Business School,212,152,102,125,0,,,,
115773,Humphreys University-Stockton and Modesto Campuses,2,1,3,8,15,31,52,54,
101435,Huntingdon College,248,294,277,252,227,261,276,255,
150941,Huntington University,218,218,196,201,226,225,238,242,
449348,Huntsville Bible College,2,1,0,0,1,1,1,1,
161165,Husson University,,,,,,449,373,466,
225575,Huston-Tillotson University,218,183,152,146,203,223,207,181,
193405,Icahn School of Medicine at Mount Sinai,,,,,,,,,
127273,Iliff School of Theology,,,,,,,,,
145691,Illinois College,293,258,292,239,253,270,284,287,
145628,Illinois College of Optometry,,,,,,,,,
145725,Illinois Institute of Technology,608,471,501,479,440,462,406,444,
145646,Illinois Wesleyan University,494,378,425,450,455,527,490,509,
213011,Immaculata University,183,197,216,188,219,287,244,245,
151290,Indiana Institute of Technology,418,428,562,511,560,473,431,434,
151801,Indiana Wesleyan University-Marion,718,784,684,683,655,718,724,753,
247922,Ingalls Memorial Hospital Dietetic Internship,,,,,,,,,
145886,Institute for Clinical Social Work,,,,,,,,,
462044,Institute for Doctoral Studies in the Visual Arts,,,,,,,,,
454838,Institute of Taoist Education and Acupuncture,,,,,,,,,
455804,Institute of World Politics,,,,,,,,,
140146,Interdenominational Theological Center,,,,,,,,,
436614,International Baptist College and Seminary,8,4,9,3,14,9,6,9,
448691,International Institute for Restorative Practices,,,,,,,,,
443128,International Technological University,,,,,,,,,
191931,Iona College,851,860,935,837,800,922,722,812,
153621,Iowa Wesleyan University,170,208,165,120,75,102,112,113,
441238,Irell & Manella Graduate School of Biological Sciences at City of Hope,,,,,,,,,
191968,Ithaca College,1666,1622,1630,1807,1560,1789,1579,1624,
134945,Jacksonville University,620,574,544,488,393,532,495,515,
225885,Jarvis Christian College,349,257,269,274,186,157,175,88,
215099,Jefferson (Philadelphia University + Thomas Jefferson University),,,485,507,606,531,594,649,
192040,Jewish Theological Seminary of America,31,38,43,39,41,32,39,42,
107141,John Brown University,319,325,323,358,318,303,318,360,
203368,John Carroll University,843,751,715,759,797,791,681,742,
116712,John F. Kennedy University,0,0,,,,,,,
452133,John Hancock University,,,,,,,,,
462354,John Paul the Great Catholic University,83,75,73,63,56,38,39,28,
198747,John Wesley University,,,33,26,46,7,13,10,
162928,Johns Hopkins University,1415,1415,1363,1364,1464,1386,1384,1350,
445708,Johnson & Wales University-Charlotte,388,443,502,521,490,499,475,537,
439288,Johnson & Wales University-Denver,247,204,239,263,227,261,298,333,
414823,Johnson & Wales University-North Miami,256,281,308,271,364,413,419,569,
460349,Johnson & Wales University-Online,4,3,3,1,0,,,,
217235,Johnson & Wales University-Providence,1322,1466,1810,1653,1657,1731,1737,2112,
198756,Johnson C Smith University,349,336,301,334,265,232,383,373,
220473,Johnson University,158,147,131,166,187,162,179,156,
132879,Johnson University Florida,67,52,35,38,42,44,79,83,
135063,Jones College-Jacksonville,,,,3,5,1,2,0,
101541,Judson College,62,65,84,62,82,66,77,75,
146339,Judson University,153,169,177,145,193,188,155,145,
461139,Jung Tao School of Classical Chinese Medicine,,,,,,,,,
213251,Juniata College,350,341,394,356,423,391,402,363,
170532,Kalamazoo College,408,448,346,364,357,453,334,368,
177746,Kansas City Art Institute,138,171,162,146,134,141,172,175,
179812,Kansas City University of Medicine and Biosciences,,,,,,,,,
155414,Kansas Wesleyan University,146,182,161,158,141,151,139,165,
440031,Keck Graduate Institute,,,,,,,,,
192165,Kehilath Yakov Rabbinical Seminary,41,49,38,48,40,44,23,26,
135081,Keiser University-Ft Lauderdale,631,583,972,936,977,684,665,659,
177816,Kenrick Glennon Seminary,,8,6,9,8,8,8,6,
157100,Kentucky Christian University,154,164,148,107,171,129,199,187,
157030,Kentucky Mountain Bible College,11,12,15,15,13,19,13,11,
157076,Kentucky Wesleyan College,249,192,194,174,224,163,157,188,
203535,Kenyon College,538,453,487,492,446,480,446,468,
461847,Keser Torah-Mayan Hatalmud,12,,,,3,7,10,12,
203544,Kettering College,43,34,46,55,54,49,71,50,
169983,Kettering University,363,371,363,434,364,375,372,329,
192192,Keuka College,330,367,365,318,228,224,229,262,
213303,Keystone College,300,289,250,214,220,218,256,236,
220516,King University,188,197,157,169,167,213,214,174,
213321,King's College,551,624,570,517,484,500,513,550,
260956,Knowledge Systems Institute,,,,,,,,,
146427,Knox College,345,358,347,386,362,380,377,343,
192244,Kol Yaakov Torah Center,,,,,,,,,
171881,Kuyper College,24,28,34,43,53,37,66,45,
213358,La Roche University,225,221,258,291,223,229,242,257,
213367,La Salle University,1040,931,790,707,866,876,857,902,
117627,La Sierra University,288,361,327,428,339,333,499,432,
165264,Laboure College,0,0,0,0,0,0,0,0,
213385,Lafayette College,733,679,649,671,648,635,629,637,
140234,LaGrange College,211,273,235,263,233,267,198,225,
117168,Laguna College of Art and Design,116,92,84,80,67,67,76,62,
203580,Lake Erie College,193,218,219,213,186,206,272,210,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
146481,Lake Forest College,392,355,358,356,410,399,416,406,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,212,174,192,206,161,214,197,202,
146533,Lakeview College of Nursing,,,,,,,,,
213400,Lancaster Bible College,171,151,164,174,160,121,134,121,
213446,Lancaster Theological Seminary,,,,,,,,,
247649,Landmark College,14,17,10,6,0,126,120,125,
220598,Lane College,342,417,396,444,312,405,325,599,
166391,Lasell University,381,410,437,489,501,484,556,375,
170675,Lawrence Technological University,378,358,366,340,329,352,324,252,
239017,Lawrence University,396,353,373,394,380,392,405,323,
192323,Le Moyne College,655,542,629,631,677,622,520,633,
220604,Le Moyne-Owen College,148,166,189,183,145,149,175,178,
213507,Lebanon Valley College,472,464,424,455,412,413,404,467,
220613,Lee University,875,895,884,826,746,808,846,870,
198808,Lees-McRae College,222,208,187,197,216,226,182,207,
213543,Lehigh University,1275,1234,1249,1261,1298,1198,1217,1207,
198835,Lenoir-Rhyne University,496,384,461,447,346,310,329,400,
218265,Lenoir-Rhyne University-Lutheran Theological Southern Seminary,,,,,,,,,
166452,Lesley University,373,379,334,372,298,317,334,350,
433217,Lester E Cox Medical Center-School of Medical Technology,,,,,,,,,
226231,LeTourneau University,307,288,259,273,322,298,318,278,
209056,Lewis & Clark College,562,525,506,654,562,473,552,605,
146612,Lewis University,638,601,642,697,743,694,673,736,
146621,Lexington College,,,,,,,7,10,
157207,Lexington Theological Seminary,,,,,,,,,
232557,Liberty University,3449,3211,3201,3399,3429,3159,3588,3585,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,80,63,57,72,65,45,43,40,
140252,Life University,174,113,112,92,97,73,39,49,
218238,Limestone University,353,367,379,430,439,435,266,245,
146667,Lincoln Christian University,64,61,79,77,61,69,73,66,
146676,Lincoln College,176,173,115,34,29,28,40,29,
220631,Lincoln Memorial University,262,268,252,246,254,184,234,313,
117557,Lincoln University,4,3,4,4,4,4,15,6,
177968,Lindenwood University,1050,928,989,1217,1170,1311,1338,1015,
157216,Lindsey Wilson College,527,542,484,514,512,512,516,540,
209065,Linfield University-McMinnville Campus,325,397,393,474,459,444,441,459,
437325,Linfield University-Online and Continuing Education,,,,,,,,,
437316,Linfield University-School of Nursing,,,,,,,,,
219976,Lipscomb University,661,640,632,660,625,680,670,623,
192563,LIU Brentwood,,,,,,,,,
192439,LIU Brooklyn,,,692,562,565,598,747,830,
192554,LIU Hudson at Rockland,,,,,,,,,
432357,LIU Hudson at Westchester,,,,,,,,,
450766,LIU Riverhead,,,,,,,,,
198862,Livingstone College,377,365,380,421,453,395,355,339,
177986,Logan University,18,7,0,,,,,,
117636,Loma Linda University,,,,,,,,,
192448,Long Island University,934,1376,531,508,542,631,954,909,
166489,Longy School of Music of Bard College,9,16,11,6,11,12,13,12,
153825,Loras College,359,336,328,389,374,414,374,360,
474863,Los Angeles Pacific University,3,8,11,13,13,8,35,14,
159568,Louisiana College,249,289,248,211,234,265,292,317,
157298,Louisville Presbyterian Theological Seminary,,,,,,,,,
203757,Lourdes University,190,208,205,148,151,209,254,188,
117946,Loyola Marymount University,1510,1445,1327,1353,1347,1339,1274,1288,
146719,Loyola University Chicago,2770,2653,2621,2190,2288,2497,2001,1928,
163046,Loyola University Maryland,1067,1021,1093,1032,1134,1096,1072,1070,
159656,Loyola University New Orleans,768,801,612,659,609,620,867,859,
226383,Lubbock Christian University,293,309,320,275,264,255,314,322,
153834,Luther College,554,516,520,623,559,627,644,627,
135364,Luther Rice College & Seminary,0,1,3,4,3,3,3,11,
173896,Luther Seminary,,,,,,,,,
146728,Lutheran School of Theology at Chicago,,,,,,,,,
213640,Lutheran Theological Seminary at Philadelphia,,,,,,,,,
213668,Lycoming College,322,282,343,347,394,347,321,416,
129686,Lyme Academy College of Fine Arts,,,,,,,12,13,
132657,Lynn University,630,467,557,514,534,451,413,408,
106342,Lyon College,215,189,200,210,252,174,159,158,
173902,Macalester College,621,543,506,582,541,555,534,478,
192624,Machzikei Hadath Rabbinical College,27,44,27,34,36,27,24,33,
146825,MacMurray College,133,141,136,120,113,120,146,126,
170806,Madonna University,212,267,208,172,165,198,143,172,
182917,Magdalen College,24,15,24,34,15,17,,,
153861,Maharishi International University,18,17,20,20,21,18,33,22,
161509,Maine College of Art,97,119,120,109,120,103,82,102,
203775,Malone University,309,335,309,243,311,314,352,359,
151777,Manchester University,408,397,389,396,441,367,372,373,
155496,Manhattan Christian College,70,82,43,43,68,72,72,76,
192703,Manhattan College,791,764,814,900,747,755,842,802,
192712,Manhattan School of Music,115,115,156,101,113,81,86,98,
192749,Manhattanville College,392,416,484,450,458,475,529,534,
446394,Maple Springs Baptist Bible College and Seminary,,0,,0,0,1,1,0,
239071,Maranatha Baptist University,130,137,192,177,181,206,186,214,
192785,Maria College of Albany,7,6,6,10,8,0,4,7,
151786,Marian University,424,337,390,304,330,334,297,296,
239080,Marian University,309,352,267,282,250,248,283,321,
203845,Marietta College,347,272,245,283,357,385,393,362,
192819,Marist College,1299,1285,1225,1209,1127,1148,1098,1174,
230940,Marlboro College,37,28,54,35,47,46,50,62,
440411,Marlboro College Graduate & Professional Studies,,,,,,,,,
239105,Marquette University,2162,2021,2002,1872,1989,1989,1927,2056,
198899,Mars Hill University,264,353,394,384,402,417,436,385,
123943,Marshall B Ketchum University,,,,,,,,,
173452,Martin Luther College,194,181,196,172,188,163,179,172,
220701,Martin Methodist College,275,242,254,254,372,272,272,109,
151810,Martin University,8,15,14,4,10,23,27,66,
232672,Mary Baldwin University,369,106,226,175,259,217,242,280,
170842,Marygrove College,,,59,84,129,170,130,92,
163295,Maryland Institute College of Art,424,421,348,409,455,400,413,496,
164085,Maryland University of Integrative Health,,,,,,,,,
209108,Marylhurst University,,,,4,0,2,4,7,
118541,Marymount California University,151,228,219,256,312,288,334,347,
192864,Marymount Manhattan College,471,516,535,514,495,397,461,420,
232706,Marymount University,414,401,439,388,350,397,373,402,
220710,Maryville College,282,301,323,338,334,349,313,293,
178059,Maryville University of Saint Louis,666,604,554,381,407,392,348,334,
213826,Marywood University,388,446,323,369,368,404,454,456,
431594,Massachusetts General Hospital Dietetic Internship,,,,,,,,,
166683,Massachusetts Institute of Technology,1113,1097,1108,1105,1040,1112,1132,1121,
369002,Massachusetts School of Law,,,,,,,,,
173957,Mayo Clinic College of Medicine and Science,0,,,,,,,,
365426,Mayo Clinic Graduate School of Biomedical Sciences,,,,,,,,,
173966,Mayo Clinic School of Health Sciences,,,,,,,,,
146977,McCormick Theological Seminary,,,,,,,,,
164270,McDaniel College,415,450,388,420,409,453,437,420,
147013,McKendree University,325,352,441,346,403,387,288,290,
226587,McMurry University,219,246,284,297,207,249,303,330,
155511,McPherson College,173,201,194,194,151,170,174,133,
166656,MCPHS University,682,766,794,781,875,883,910,480,
147031,Meadville Lombard Theological School,,,,,,,,,
192925,Medaille College,238,236,215,321,298,313,293,373,
239169,Medical College of Wisconsin,,,,,,,,,
220792,Meharry Medical College,,,,,,,,,
220808,Memphis College of Art,,,66,79,96,111,68,94,
220871,Memphis Theological Seminary,,,,,,,,,
118693,Menlo College,157,152,150,148,190,134,168,142,
