UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,25642,45306,43454,41544,39850,38220,36660,35320,
210669,Allegheny College,49260,47540,45970,44250,42470,40660,39100,37610,
210775,Alvernia University,36350,34900,33640,32270,31100,30080,29060,27950,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,44440,43580,42330,40920,39560,38160,36810,35620,
210492,Bryn Athyn College of the New Church,24471,22860,21126,19932,19353,18609,17724,16878,
211273,Bryn Mawr College,54440,52360,50500,48790,47140,45540,43900,42246,
211291,Bucknell University,58196,56092,53986,51960,50152,48498,46902,45378,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,32845,31920,31350,30588,29842,29842,29000,29000,
215114,Cairn University-Langhorne,28918,27279,26493,25246,23920,23245,22455,21705,
211431,Carlow University,30528,29454,28596,27764,26832,26178,25416,24438,
211440,Carnegie Mellon University,57119,55465,53910,52310,50665,49022,47642,45760,
211468,Cedar Crest College,40374,39216,38092,36825,35600,34504,33000,31596,
211556,Chatham University,38738,37611,36510,35475,34440,33428,32454,31532,
211583,Chestnut Hill College,37200,36180,35180,34140,33130,32110,31170,30165,
211024,Clarks Summit University,26082,23890,23890,22510,21850,20250,19710,19030,
211893,Curtis Institute of Music,2900,2900,2675,2525,2525,2475,2425,2350,
211981,Delaware Valley University,40620,39440,38000,36750,35256,33826,32890,31746,
210739,DeSales University,38700,37400,35900,34850,33350,32350,31250,30150,
212009,Dickinson College,56523,54661,52955,51205,49489,47717,46094,44551,
212054,Drexel University,54516,53244,52002,51030,48791,47051,37505,36090,
212106,Duquesne University,39992,38178,36394,35062,33778,32636,31385,30034,
212133,Eastern University,33854,32947,32145,31140,30640,29680,28090,27174,
212197,Elizabethtown College,32000,46940,45350,43490,41710,39920,38200,36550,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,58800,56550,54380,52290,50400,48514,46285,44360,
212601,Gannon University,33226,32136,30932,30042,29258,28368,27546,26526,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,28190,27230,26070,25680,25450,25220,25220,24480,
212674,Gettysburg College,56390,54480,52640,50860,49140,47480,45870,44210,
212771,Gratz College,,,,19772,,,,,
212805,Grove City College,18470,17930,17254,16630,16154,15550,14880,14212,
212832,Gwynedd Mercy University,34580,33600,33600,32480,31360,30460,29450,28190,
446640,Harrisburg University of Science and Technology,23900,23900,23900,23900,23900,23900,23900,23900,
212911,Haverford College,56952,54838,52994,51259,49098,47214,45426,43702,
212984,Holy Family University,31040,30346,30346,29750,29168,28456,27100,25590,
213011,Immaculata University,27350,27350,27350,35210,33280,32000,30740,29000,
448691,International Institute for Restorative Practices,,,,,,,,,
213251,Juniata College,47075,45597,43875,42170,40600,38630,37170,35780,
213303,Keystone College,26720,26720,26670,25798,24300,21900,21300,20400,
213321,King's College,38724,37226,35830,34720,33090,31816,30310,29174,
213358,La Roche University,29464,28564,27720,27000,26250,25500,24778,24058,
213367,La Salle University,31650,30710,29500,41100,41100,39800,38200,36650,
213376,Lackawanna College,16130,15660,15160,14580,14110,13690,12990,12280,
213385,Lafayette College,55752,53630,51600,49635,47760,46385,44670,42980,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
213400,Lancaster Bible College,26170,25270,22580,21500,19980,18800,18270,17740,
213446,Lancaster Theological Seminary,,,,,,,,,
213507,Lebanon Valley College,44910,43650,42180,40550,39030,37470,35700,34470,
213543,Lehigh University,55240,52930,50740,48320,46230,44890,43520,42220,
213668,Lycoming College,41851,40315,38618,37162,35900,34706,33746,32756,
213774,Manor College,18022,17179,17029,16550,16550,16070,15250,14620,
213826,Marywood University,35904,34910,33940,33000,32692,31695,30690,29380,
213987,Mercyhurst University,40170,37170,36320,34580,33314,31485,30300,29037,
213996,Messiah University,36120,35160,34160,33180,32240,31340,30470,29460,
214069,Misericordia University,34560,33240,31660,30740,29840,29010,28210,27230,
211130,Missio Theological Seminary,,,,,,,,,
214148,Moore College of Art and Design,43082,41424,39833,38301,36828,35410,34048,32738,
214157,Moravian College,45312,43636,42024,40287,38832,37572,35518,34484,
214166,Mount Aloysius College,23680,23110,22430,21850,21360,20790,20268,19520,
214175,Muhlenberg College,54600,52595,50830,48310,45875,44145,42755,41510,
214272,Neumann University,32960,31400,30050,28580,26918,25860,24948,24232,
214883,Peirce College,15060,15060,15060,14472,14184,13800,17040,16500,
214971,Pennsylvania Academy of the Fine Arts,40376,38878,37096,36058,34410,32695,30380,29100,
215053,Pennsylvania College of Art and Design,26600,25850,25000,23800,22800,22000,20680,19680,
442356,Pennsylvania College of Health Sciences,29320,28412,27568,25510,24453,23045,21502,20150,
215123,Philadelphia College of Osteopathic Medicine,,,,,,,,,
215415,Pittsburgh Technical College,16632,16801,16817,16415,16192,15657,15356,15356,
215424,Pittsburgh Theological Seminary,,,,,,,,,
215442,Point Park University,32750,31450,30130,29030,28250,27190,26170,25190,
215619,Reconstructionist Rabbinical College,,,,,,,,,
215628,Reformed Presbyterian Theological Seminary,,,,,11520,11088,,,
215655,Robert Morris University,31200,30300,29420,28250,27194,26054,25114,24064,
215691,Rosemont College,20500,19900,19486,19480,32500,31580,30950,30450,
216047,Saint Charles Borromeo Seminary-Overbrook,21913,20655,20655,20655,20050,19500,19500,19150,
215743,Saint Francis University,38170,36410,35066,33344,32178,31078,29992,28878,
215770,Saint Joseph's University,46550,44974,43880,43020,42180,40580,39040,37830,
215798,Saint Vincent College,36510,35462,34430,33426,32392,31370,30350,29846,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,,,,,,,,,
215947,Seton Hill University,36856,35748,34660,33520,32420,31280,30300,29050,
216278,Susquehanna University,49180,47290,45470,43720,42040,40350,38780,37280,
216287,Swarthmore College,54656,52588,50822,49104,47442,46060,44718,43080,
216311,Talmudical Yeshiva of Philadelphia,9450,9175,8900,8600,8750,8500,8650,8100,
215105,The University of the Arts,46680,44930,43100,41464,39908,38410,36582,34840,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,32596,31700,30830,29740,28868,27828,26802,26012,
216366,Thomas Jefferson University,41866,40651,,,,,,,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
213631,United Lutheran Seminary,,,,,,,,,
215062,University of Pennsylvania,57770,55584,53534,51464,49536,47668,45890,43738,
215929,University of Scranton,45790,44532,43310,42162,41044,39956,38754,37456,
215132,University of the Sciences,25000,25000,39994,38850,37466,36096,34742,33406,
216542,University of Valley Forge,22000,21341,21370,20694,20394,20394,19394,18367,
216524,Ursinus College,53610,52050,50360,49370,47700,46080,44530,43270,
216597,Villanova University,55280,53308,51284,49280,47616,45966,44430,42740,
216667,Washington & Jefferson College,49338,47964,46628,44900,43226,41282,39710,38310,
216694,Waynesburg University,25570,24820,24010,22800,22030,21290,20540,19810,
216807,Westminster College,37300,36806,36276,35210,34105,33410,32445,31510,
216816,Westminster Theological Seminary,,,,,,,,,
216852,Widener University,47328,45948,44166,42870,41224,39830,38028,36382,
216931,Wilkes University,37622,36194,34896,33568,32356,31262,30350,29326,
217013,Wilson College,25300,24595,24452,24430,24392,24380,29370,29360,
442064,Won Institute of Graduate Studies,,,,,,,,,
217040,Yeshivath Beth Moshe,9600,9400,9200,8950,8600,8000,8400,7700,
217059,York College of Pennsylvania,20885,20100,19430,18780,18240,17630,17010,16520,