UnitID,Institution Name,Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,5777679,20123933,13123204,15862102,11500282,11892204,14489599,8063939,
210669,Allegheny College,17915988,16760723,15418880,16699836,13220879,11826037,13121452,12317472,
210775,Alvernia University,7216954,7596733,6068187,5253325,6173692,5324848,4142736,4361837,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,14401799,12401174,14502665,15198946,13861632,15266181,13007054,13460785,
210492,Bryn Athyn College of the New Church,872903,676804,865842,610909,715365,727260,659029,460408,
211273,Bryn Mawr College,9117136,10483581,7825226,11123893,8426452,7043999,6996200,7246072,
211291,Bucknell University,17001361,15955137,16273524,13415686,15086928,13428750,13822726,12053772,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,7307636,8082975,7887731,7330163,5804791,5942230,4125156,5829777,
215114,Cairn University-Langhorne,3034889,2691460,2281764,2175317,2061425,2047922,1743994,1674747,
211431,Carlow University,2943031,4109035,3791055,3572239,3223707,2742334,2625700,2473181,
211440,Carnegie Mellon University,27929303,28633881,30855967,27631470,22673153,20820570,20120160,17045209,
211468,Cedar Crest College,5223049,5092517,4943836,3896863,3782913,3466254,2700792,2544342,
211556,Chatham University,6658158,6060766,5994769,4056497,4181061,2134221,2313960,2050543,
211583,Chestnut Hill College,5235480,3390315,4088444,4658079,3851652,3209800,2470994,3252771,
211024,Clarks Summit University,747945,851672,780046,782401,577414,757551,976327,504772,
211893,Curtis Institute of Music,214407,134449,117551,158886,158245,103546,190320,227573,
211981,Delaware Valley University,9523080,10720629,9035971,8966067,8423914,8718174,6560392,7243799,
210739,DeSales University,10768946,10747705,8429741,9426718,7846938,6897416,6385224,5837338,
212009,Dickinson College,13018832,19118966,15246897,15315750,15537410,11933590,11133914,10029334,
212054,Drexel University,89165553,94885040,92324664,61130367,71724074,69622913,50676371,49156950,
212106,Duquesne University,28717022,32163634,29902577,27267873,24372292,21063021,22837221,21872198,
212133,Eastern University,6622414,7891970,6703849,7359391,6550033,6253451,6337042,6022763,
212197,Elizabethtown College,6295935,11476607,11400186,10692187,11284716,9396619,10119003,9239141,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,15272327,14607234,16876992,14205325,12149934,12671072,11055379,10854252,
212601,Gannon University,14313182,14820991,11205530,11042185,9834269,9184891,8997671,8436471,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,4731885,4507530,4062632,3683552,3741421,3635891,4157676,4180235,
212674,Gettysburg College,21548493,21469392,18073640,15384428,14246890,15353428,11162275,13290439,
212771,Gratz College,,,,,,,,,
212805,Grove City College,2256946,2496672,2337608,2072786,1665177,1662365,1676147,1490417,
212832,Gwynedd Mercy University,4442548,5177765,4893393,3821335,3912364,3156169,2961274,3108142,
446640,Harrisburg University of Science and Technology,3228291,3735438,2901034,1688014,1667488,964704,998160,1151771,
212911,Haverford College,7354039,8153418,7440854,6890098,7775222,6986121,6232868,6088118,
212984,Holy Family University,6096812,5774000,6048074,5709921,5453092,4043991,3970503,3935199,
213011,Immaculata University,2984588,2097995,2045900,4013388,3309196,3104992,3873173,3258041,
448691,International Institute for Restorative Practices,,,,,,,,,
213251,Juniata College,13768655,10714012,9239406,10702974,8122402,9764322,8148693,7489560,
213303,Keystone College,2483250,2381203,3213826,3656910,3534903,3077945,3414094,3682575,
213321,King's College,11880191,11318261,11700654,9675352,8654358,7800432,7321681,7100412,
213358,La Roche University,2510730,3150365,2571458,2544057,2799158,2144256,1929965,2440118,
213367,La Salle University,12409986,14611233,14104701,19992727,17641622,20407087,19100064,17738216,
213376,Lackawanna College,645873,498079,653117,706007,550321,595066,482939,421550,
213385,Lafayette College,15443109,15416679,13624755,13096018,11099049,10576446,10572171,9882974,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
213400,Lancaster Bible College,2020688,1908776,1419679,1255746,1316809,1177468,794065,709246,
213446,Lancaster Theological Seminary,,,,,,,,,
213507,Lebanon Valley College,13717618,12848684,11955909,10077578,10347275,8407917,7197772,6436299,
213543,Lehigh University,28577851,25569847,22750941,20137785,18421155,18239273,16261051,16857555,
213668,Lycoming College,11422356,10159870,8332252,9502251,9042146,9907392,7393597,6101379,
213774,Manor College,214433,261149,215342,184391,160948,164164,228560,210450,
213826,Marywood University,8472254,8012724,9087967,5951918,6901551,6614556,7112692,7123507,
213987,Mercyhurst University,15684250,16612493,14017320,18745356,13909725,13300380,12125713,12969393,
213996,Messiah University,11847315,11689849,11422937,11113013,10924594,10885521,9456760,9721906,
214069,Misericordia University,7813273,7694728,8213723,6945896,6576466,5591060,5156498,5911729,
211130,Missio Theological Seminary,,,,,,,,,
214148,Moore College of Art and Design,1803143,1865468,1641729,844244,1435780,1013723,1160012,1554220,
214157,Moravian College,11665311,11604768,10880222,11138035,10351360,7140314,6618027,6446210,
214166,Mount Aloysius College,2454709,2417281,2393824,2019942,2545735,2490418,2634002,2241169,
214175,Muhlenberg College,16657599,16208420,13520476,12334902,11261458,10867997,9593527,8413468,
214272,Neumann University,7114197,7352228,5750518,5364124,5120543,4442868,5197104,4760950,
214883,Peirce College,109979,37049,254983,99865,104731,133326,44839,23765,
214971,Pennsylvania Academy of the Fine Arts,640776,724356,596537,558750,493270,269135,455831,259602,
215053,Pennsylvania College of Art and Design,315350,236225,259400,250525,211589,120230,77500,43000,
442356,Pennsylvania College of Health Sciences,48120,71999,83340,21300,59033,1836,500,500,
215123,Philadelphia College of Osteopathic Medicine,,,,,,,,,
215415,Pittsburgh Technical College,1426793,1649083,1417890,1372783,1414492,1726683,1684951,1387740,
215424,Pittsburgh Theological Seminary,,,,,,,,,
215442,Point Park University,11258148,10243379,10665473,9800319,8720495,8267764,6369616,5966199,
215619,Reconstructionist Rabbinical College,,,,,,,,,
215628,Reformed Presbyterian Theological Seminary,,,,,,,,,
215655,Robert Morris University,12174593,13550474,13496842,12103416,11774518,10315469,10753505,9911045,
215691,Rosemont College,1166341,785545,1235976,1242055,3225080,3101639,2381330,1353215,
216047,Saint Charles Borromeo Seminary-Overbrook,500,500,0,0,500,500,0,0,
215743,Saint Francis University,9120115,7415007,7487847,6006815,7030973,6843431,7060976,6972175,
215770,Saint Joseph's University,28550835,27197392,25287834,27987210,24371020,24921037,23002240,20639969,
215798,Saint Vincent College,9254115,10359093,10787531,8628199,8793516,9040177,9390112,6194022,
215813,Saint Vincent Seminary,,,,,,,,,
214564,Salus University,,,,,,,,,
215947,Seton Hill University,9467276,8403400,8944963,7119661,7472229,5968711,6515882,5301831,
216278,Susquehanna University,20973628,19501150,18922008,17669359,17539162,13280484,13085326,12315945,
216287,Swarthmore College,12104562,11307030,10325123,10756980,10205687,8277379,7301884,6398332,
216311,Talmudical Yeshiva of Philadelphia,158063,154850,127441,163990,155901,133790,209101,156570,
215105,The University of the Arts,9285618,9445233,9148105,8407064,8016529,6544760,7701190,6378522,
216348,Theological Seminary of the Reformed Episcopal Church,,,,,,,,,
216357,Thiel College,5270054,4126652,3099997,4547217,3249628,4004893,4241305,3917419,
216366,Thomas Jefferson University,17041530,15569191,12345281,,,,,,
216463,Trinity Episcopal School for Ministry,,,,,,,,,
213631,United Lutheran Seminary,,,,,,,,,
215062,University of Pennsylvania,56490483,57889250,49745626,49004167,48381987,42644007,43245442,43117433,
215929,University of Scranton,23692276,21216018,18710635,18942225,18063461,20673194,15195270,15975485,
215132,University of the Sciences,4044381,2089679,7980252,6764520,5788193,7106150,7520221,7805059,
216542,University of Valley Forge,1116935,1053887,1032045,1078277,844937,538220,584840,757751,
216524,Ursinus College,15785580,12940281,12749118,11820250,12538743,14417750,10744005,10300630,
216597,Villanova University,30097834,28306330,28293411,26081311,25067242,23808270,21375829,21376030,
216667,Washington & Jefferson College,9401172,11289826,9403397,11359348,9921629,9263690,6963330,7030928,
216694,Waynesburg University,4886364,3940046,4808460,4337796,4029794,3306379,3772175,2899862,
216807,Westminster College,7266453,8670718,7889281,8181041,6545377,5931318,5646210,5678277,
216816,Westminster Theological Seminary,,,,,,,,,
216852,Widener University,19737745,21714493,19692896,17261144,20190155,16652694,17257220,13992596,
216931,Wilkes University,10563890,13955688,10881450,11533893,10335940,9328311,8636391,8211838,
217013,Wilson College,2160435,2174609,1890591,1472447,1346754,1161600,1036165,914719,
442064,Won Institute of Graduate Studies,,,,,,,,,
217040,Yeshivath Beth Moshe,17071,15817,10194,11941,58121,82866,61116,63262,
217059,York College of Pennsylvania,7390997,7844871,7082204,6176802,4889365,5966432,5363601,4583586,