unitid,institution name,year,HD2020.State abbreviation,HD2020.Sector of institution
210492,Bryn Athyn College of the New Church,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210508,Academy of Vocal Arts,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210571,Albright College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210669,Allegheny College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210739,DeSales University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210775,Alvernia University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
210809,American College of Financial Services,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211024,Clarks Summit University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211088,Arcadia University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211130,Missio Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211273,Bryn Mawr College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211291,Bucknell University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211352,Cabrini University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211431,Carlow University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211440,Carnegie Mellon University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211468,Cedar Crest College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211556,Chatham University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211583,Chestnut Hill College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211893,Curtis Institute of Music,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
211981,Delaware Valley University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212009,Dickinson College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212054,Drexel University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212106,Duquesne University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212133,Eastern University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212197,Elizabethtown College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212443,Evangelical Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212577,Franklin and Marshall College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212601,Gannon University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212656,Geneva College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212674,Gettysburg College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212771,Gratz College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212805,Grove City College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212832,Gwynedd Mercy University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212911,Haverford College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
212984,Holy Family University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213011,Immaculata University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213251,Juniata College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213303,Keystone College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213321,King's College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213358,La Roche University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213367,La Salle University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213376,Lackawanna College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213385,Lafayette College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213400,Lancaster Bible College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213446,Lancaster Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213507,Lebanon Valley College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213543,Lehigh University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213631,United Lutheran Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213668,Lycoming College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213774,Manor College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213826,Marywood University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213987,Mercyhurst University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
213996,Messiah University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214069,Misericordia University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214148,Moore College of Art and Design,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214157,Moravian College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214166,Mount Aloysius College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214175,Muhlenberg College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214272,Neumann University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214564,Salus University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214883,Peirce College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
214971,Pennsylvania Academy of the Fine Arts,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215053,Pennsylvania College of Art and Design,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215062,University of Pennsylvania,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215105,The University of the Arts,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215114,Cairn University-Langhorne,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215123,Philadelphia College of Osteopathic Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215132,University of the Sciences,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215415,Pittsburgh Technical College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215424,Pittsburgh Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215442,Point Park University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215619,Reconstructionist Rabbinical College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215628,Reformed Presbyterian Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215655,Robert Morris University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215691,Rosemont College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215743,Saint Francis University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215770,Saint Joseph's University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215798,Saint Vincent College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215813,Saint Vincent Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215929,University of Scranton,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
215947,Seton Hill University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216047,Saint Charles Borromeo Seminary-Overbrook,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216278,Susquehanna University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216287,Swarthmore College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216311,Talmudical Yeshiva of Philadelphia,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216348,Theological Seminary of the Reformed Episcopal Church,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216357,Thiel College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216366,Thomas Jefferson University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216463,Trinity Episcopal School for Ministry,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216524,Ursinus College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216542,University of Valley Forge,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216597,Villanova University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216667,Washington & Jefferson College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216694,Waynesburg University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216807,Westminster College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216816,Westminster Theological Seminary,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216852,Widener University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
216931,Wilkes University,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217013,Wilson College,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217040,Yeshivath Beth Moshe,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
217059,York College of Pennsylvania,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
407629,Lake Erie College of Osteopathic Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
442064,Won Institute of Graduate Studies,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
442356,Pennsylvania College of Health Sciences,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
446640,Harrisburg University of Science and Technology,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
448691,International Institute for Restorative Practices,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
456542,Geisinger Commonwealth School of Medicine,1920,Pennsylvania,"Private not-for-profit, 4-year or above"
